SKU code,Barcode,Product Name,Price,Customer Discounted Price
CSV-74bdc1c6,,Indomie - Onion Chicken Noodles (70g),380.0,342.0
SKU-133994-71JNJ9VTLL,,Indomie - Onion Chicken Spicy Instant Noodles (70g) Pack of 40,15000.0,13500.0
CSV-40a0578c,,Indomie - Onion Chicken Super Pack (120g),750.0,675.0
SKU-133994-QBHYY7CC4C,,Indomie - Super Pack Onion Chicken Spicy Instant Noodles Pack of 40,28000.0,25200.0
SKU-133994-N2PA6599Q6,,Irish Spring - Icy Blast Soap (100g) ,1800.0,1620.0
SKU-133994-ZNLLGP249C,,Irish Spring - Original Soap (100g) ,1800.0,1620.0
EX-0540fb32,,Jack Daniel - Old No.7 Honey  (70cl),37000.0,33300.0
EX-5b82dc01,,Jack Daniel’s - Old No.7 Black (70cl),37000.0,33300.0
EX-f5ae5131,,Jack Daniel’s - Old No.7 Gentleman Jack (70cl),48000.0,43200.0
RM-e992ecbc,,Jacob’s - Cream Crackers Biscuit (300g) Biscuit Crackers,5500.0,4950.0
SKU-133994-9BSFG783W6,,Jago - Mayonnaise (445ml) ,3000.0,2700.0
EX-3bb5e0ae,,Jameson  - 70cl,30000.0,27000.0
EX-fc865829,,Jameson - Black Barrel (70cl) ,50000.0,45000.0
EX-0efef6f7,,Jimpo-Ori - Shea Butter (250ml) ,4300.0,3870.0
EX-e6150e55,,Jinro 24 Soju - Original (24cl),13000.0,11700.0
EX-1d9cadf6,,Johnnie Walker - Black Label (70cl),60000.0,54000.0
EX-4b55bd65,,Johnson’s - Baby Lotion (500ml),7500.0,6750.0
EX-2fbaa59f,,Johnson’s - Baby Oil (500ml),7500.0,6750.0
EX-cc881c86,,Jose Cuervo - Especial (70cl),31500.0,28350.0
EX-f476d602,,Jose Cuervo - Especial Silver (70cl),29500.0,26550.0
EX-af457638,,Kaly Libre - Intense Eau De Parfum (50ml) Perfume ,10500.0,9450.0
RM-483eed6a,,Kellogg’s - Coco Pops (360g),4300.0,3870.0
RM-3d7f52f1,,Kellogg’s - Coco Pops (420g) ,10000.0,9000.0
RM-7c052519,,Kellogg’s - Cornflakes (450g),12000.0,10800.0
RM-0e4689c4,,Kellogg’s - Fruit ’n Fiber (700g),10500.0,9450.0
CSV-0c041e1c,,Kemps - Cream Crackers Biscuit Cookies (21g) Cookies Biscuit Cracker,250.0,225.0
,,King’s - cooking margarine (250g),1200.0,1080.0
SKU-133994-8F92PHYBVD,,Knorr - Chicken Seasoning Cubes (50x8g) Maggi,3100.0,2790.0
SKU-133994-ZPL68S5Q89,,Knorr - Seasoning Cubes (50x8g) Maggi,2500.0,2250.0
SKU-133994-DDY6UPMRZK,,Kopiko - Coffee Candy Sweet (350g),5500.0,4950.0
,,Ktc - 100% pure coconut oil odourless (250ml),4500.0,4050.0
SKU-133994-MK8WQEYJVJ,,L&Z - Banana Yoghurt (500ml),3000.0,2700.0
SKU-133994-VBFJF97BV4,,L&Z - Fresh Milk Yoghurt (1L),5000.0,4500.0
SKU-133994-M46VLD1XR2,,L&Z - Fresh Milk Yoghurt (500ml),3000.0,2700.0
SKU-133994-5PBXQQ1UNL,,L&Z - Strawberry Yoghurt (1L),5000.0,4500.0
SKU-133994-LN7JCWBNVF,,L&Z - Strawberry Yoghurt (1L),5000.0,4500.0
SKU-133994-8VEUY9RNF1,,L&Z - Strawberry Yoghurt (500ml),3000.0,2700.0
SKU-133994-5E6GU7SUZZ,,L&Z - Vanilla Yoghurt (1L),5000.0,4500.0
SKU-133994-AKCG9FSJ2U,,L&Z - Vanilla Yoghurt (500ml),3000.0,2700.0
SKU-133994-FU46KH3EKK,,Lacasera - Apple Fruit Soda Drink (33cl),400.0,360.0
SKU-133994-4AVUHGCYJL,,Lacasera - Apple Fruit Soda Drink (60cl),700.0,630.0
SKU-133994-GTYMNY7YPR,,Lady Care - Premium Sanitary Pad  (10pcs),1250.0,1125.0
SKU-133994-BT1YTUFXXW,,Lady Care - Sanitary Pad (10pcs),1250.0,1125.0
SKU-133994-2RKKHKKVF7,,Laqua - 12 Pack of Bottled Water (75cl),3000.0,2700.0
SKU-133994-8D1ZB1V7KP,,Laqua Water (75cl),270.0,243.0
SKU-133994-TVYBRP5NN4,,Laser - Pure Blossom Honey (500g),10000.0,9000.0
EX-f0de6ce5,,Lattafa - Hayaati Gold Elixir Unisex Eau De Parfum (100ml) Perfume,10000.0,9000.0
RM-4c10c4aa,,Laziz - Vegetable Oil (3L),16000.0,14400.0
EX-547c7f05,,Laziz - Vegetable Oil (5L),27000.0,24300.0
EX-0c41a185,,Lb - Car Wash Super Concentrate Wash “N” Wax,3500.0,3150.0
SKU-133994-B129HS99P9,,Lemon Fresh - Dish Wash (4l) ,12000.0,10800.0
